case_id,slice_idx,inference_time_ms,memory_usage_mb,has_tumor,image_size
case_00154,291,19.928455352783203,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,501,19.133806228637695,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,273,20.645618438720703,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,347,19.30093765258789,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,370,21.343708038330078,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,300,19.06871795654297,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,55,21.034717559814453,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,118,19.132375717163086,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,231,20.709991455078125,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,31,20.48468589782715,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,170,19.228696823120117,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00154,73,24.346590042114258,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,113,21.416187286376953,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00033,287,20.02882957458496,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,1,19.033193588256836,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,209,19.138097763061523,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,399,19.40155029296875,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00113,311,22.175312042236328,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,483,19.127607345581055,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,27,20.597219467163086,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,381,19.202709197998047,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00086,397,21.18515968322754,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00033,309,20.6451416015625,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,429,19.989728927612305,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,498,19.29306983947754,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,193,20.44391632080078,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,95,20.482540130615234,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,145,19.557476043701172,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,451,19.367456436157227,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,201,19.61040496826172,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,457,19.443273544311523,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,214,20.022869110107422,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,252,19.849061965942383,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,412,19.397735595703125,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,508,20.379066467285156,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,64,23.592472076416016,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,228,20.272493362426758,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,304,21.047353744506836,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,508,19.53268051147461,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00033,268,19.856691360473633,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,436,22.925376892089844,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,122,22.755146026611328,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,373,19.30713653564453,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,209,20.319461822509766,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,510,19.528865814208984,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,345,20.20096778869629,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,338,19.315242767333984,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00133,68,26.480674743652344,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,236,23.00429344177246,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,478,19.620895385742188,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,460,25.576353073120117,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,267,19.30379867553711,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,22,20.036935806274414,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,85,19.412755966186523,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,216,21.203041076660156,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,134,19.82259750366211,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,286,21.56519889831543,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,219,19.30546760559082,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,6,21.255016326904297,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,352,19.806623458862305,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,149,22.623777389526367,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00134,68,20.84183692932129,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,240,20.13111114501953,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,156,20.006656646728516,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00203,491,21.965980529785156,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,253,21.71468734741211,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,456,22.031784057617188,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,358,19.145965576171875,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00075,406,22.761821746826172,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,451,18.871068954467773,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,463,22.799253463745117,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,474,21.805524826049805,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,227,22.789716720581055,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,62,19.77825164794922,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,451,27.205944061279297,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,25,19.552946090698242,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,91,20.583391189575195,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,216,19.483566284179688,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,168,21.348953247070312,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,468,19.532203674316406,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,200,21.283626556396484,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,327,20.154714584350586,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,174,21.90566062927246,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00125,161,23.63896369934082,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,255,22.782325744628906,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,18,19.90962028503418,0.0,False,"torch.Size([1, 1, 224, 224])"
