true_positive,false_negative,false_positive,class_confusion,fn_percent,fp_percent,cc_percent,error_rate,case_id,slice_idx
0,0,0,0,0.0,0.0,0.0,0.0,case_00194,307
0,0,0,0,0.0,0.0,0.0,0.0,case_00161,45
211,9,40,0,18.367346938775512,81.63265306122449,0.0,18.846153846153847,case_00115,372
0,0,214,0,0.0,100.0,0.0,100.0,case_00125,223
0,0,0,0,0.0,0.0,0.0,0.0,case_00014,498
640,10,83,0,10.75268817204301,89.24731182795699,0.0,12.687585266030014,case_00075,362
0,0,0,0,0.0,0.0,0.0,0.0,case_00102,73
139,12,19,0,38.70967741935484,61.29032258064516,0.0,18.235294117647058,case_00161,236
210,16,6,0,72.72727272727273,27.272727272727273,0.0,9.482758620689655,case_00115,127
1090,8,48,0,14.285714285714286,85.71428571428571,0.0,4.886561954624782,case_00125,171
91,1,32,0,3.0303030303030303,96.96969696969697,0.0,26.612903225806452,case_00194,199
0,0,0,0,0.0,0.0,0.0,0.0,case_00133,377
1399,51,69,0,42.5,57.5,0.0,7.899934167215274,case_00113,124
0,0,0,0,0.0,0.0,0.0,0.0,case_00113,92
0,0,0,0,0.0,0.0,0.0,0.0,case_00161,20
0,0,0,0,0.0,0.0,0.0,0.0,case_00014,50
0,0,0,0,0.0,0.0,0.0,0.0,case_00161,9
0,0,236,0,0.0,100.0,0.0,100.0,case_00075,482
956,7,67,0,9.45945945945946,90.54054054054055,0.0,7.184466019417476,case_00079,167
312,1,15,0,6.25,93.75,0.0,4.878048780487805,case_00033,126
0,0,173,0,0.0,100.0,0.0,100.0,case_00014,44
1361,27,106,46,15.083798882681565,59.21787709497207,25.69832402234637,11.623376623376624,case_00079,350
2117,58,157,67,20.56737588652482,55.673758865248224,23.75886524822695,11.754897874114214,case_00113,418
0,0,35,0,0.0,100.0,0.0,100.0,case_00203,297
1252,10,134,16,6.25,83.75,10.0,11.331444759206798,case_00075,334
0,0,113,0,0.0,100.0,0.0,100.0,case_00134,126
1840,35,160,39,14.957264957264957,68.37606837606837,16.666666666666668,11.282545805207329,case_00102,308
0,0,0,0,0.0,0.0,0.0,0.0,case_00113,52
0,0,5,0,0.0,100.0,0.0,100.0,case_00125,381
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,77
0,0,0,0,0.0,0.0,0.0,0.0,case_00033,448
225,8,26,37,11.267605633802816,36.61971830985915,52.11267605633803,23.986486486486488,case_00203,404
0,0,540,0,0.0,100.0,0.0,100.0,case_00134,235
0,0,0,0,0.0,0.0,0.0,0.0,case_00134,207
685,9,54,32,9.473684210526315,56.8421052631579,33.68421052631579,12.179487179487179,case_00086,384
702,0,58,0,0.0,100.0,0.0,7.631578947368421,case_00033,134
446,40,34,0,54.054054054054056,45.945945945945944,0.0,14.23076923076923,case_00033,328
0,0,0,0,0.0,0.0,0.0,0.0,case_00079,50
0,0,436,0,0.0,100.0,0.0,100.0,case_00134,218
0,0,0,0,0.0,0.0,0.0,0.0,case_00154,287
196,4,20,0,16.666666666666668,83.33333333333333,0.0,10.909090909090908,case_00133,277
0,0,0,0,0.0,0.0,0.0,0.0,case_00113,239
0,0,290,0,0.0,100.0,0.0,100.0,case_00102,448
